Address,Prisantydning,Fellesgjeld,Omkostninger,Totalpris,Felleskost,Boligtype,Eieform_bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Faciliteter,Beskrivelse,Eiendomsmegler
"Konggata 53B, 3019 Drammen",800 000 kr,578 000 kr,8 032 kr,1 386 032 kr,6 736 kr,Leilighet,Andel,1,32 m²,32 m²,2,1935,F - rød,,Fin 2-roms andelsleilighet i 2. etasje med balkong og parkeringsmuligheter - Gangavstand til sentrum.,Nordvik Drammen
"Tyttebærlia 40B, 2053 Jessheim",3 200 000 kr,1 608 kr,81 342 kr,3 282 950 kr,1 606 kr,Leilighet,Eier (Selveier),2,65 m²,67 m²,2,2005,E - oransje,,Lys og velholdt selveierleilighet i 2. etasje med lave felleskostnader. Solrik balkong og fin beliggenhet innerst i blin,-1
"Smedstuvegen 5, 2030 Nannestad",3 390 000 kr,62 357 kr,86 092 kr,3 538 449 kr,4 973 kr,Leilighet,Eier (Selveier),2,71 m²,74 m²,4,2015,D - mørkegrønn,-1,"Lys, moderne og nyere (2015) 3-R toppleilighet med overbygd balkong | Varmtvann og fyring inkl. | Garasje| Sentralt|",Krogsveen avd. Jessheim
"Antenneveien 3, 1154 Oslo",3 500 000 kr,101 000 kr,15 554 kr,3 616 554 kr,2 695 kr,Leilighet,Andel,1,52 m²,52 m²,5,1955,E - rød,,Lekker 2-roms i blokkens toppetg. Grønt og fritt utsyn. Sydvendt balkong. Flislagt bad og delikat kjøkken! Peis.,-1
"ELVEGATA 4, 5700 Voss",3 500 000 kr,88 670 kr,3 588 670 kr,2 183 kr,-1,Leilighet,Eier (Selveier),2,73 m²,77 m²,2013,C - rød,-1,,Lys & luftig 3-romsleilihet med balkong og parkering i garasje - gangavstad til alt i Voss sentrum,-1
"Ulstadløkkveien 4, 7067 Trondheim",3 290 000 kr,536 223 kr,5 060 kr,3 831 283 kr,4 788 kr,Leilighet,Andel,2,72 m²,72 m²,3,1911,F - rød,,NYDELIG 3-ROMS BYGÅRDSLEILIGHET |Mulighet for 3 soverom |Nytt tak 2019 og brannsikret 2017| 4-5 min gange til Solsiden,Meglerhuset Nylander avd Lilleby
"Prest Fønhus vei 38, 1825 Tomter",2 940 000 kr,74 874 kr,3 014 874 kr,1 600 kr,5 560 kr per år,Leilighet,Eier (Selveier),2,78 m²,78 m²,1,2006,F - rød,,Attraktiv 3-roms leilighet med peis og stor terrasse. Gode solforhold. Garasje. God beliggenhet i ytterkant av feltet,EiendomsMegler 1 Ski
"Mosseveien 69, 1610 Fredrikstad",3 700 000 kr,101 519 kr,3 801 519 kr,2 141 kr,-1,Leilighet,Eier (Selveier),1,49 m²,52 m²,3,2021,A - mørkegrønn,,Med orkesterplass til Seutelva | Splitter ny selveierleilighet med finesse! Sigdal-kjøkken | Garasje & heis | Utsikt!,GRIMSØEN & PARTNERS AS
"Sandviksveien 49D, 5036 Bergen",2 950 000 kr,535 101 kr,960 kr,3 486 061 kr,5 541 kr,Leilighet,Andel,2,57 m²,57 m²,2,1918,-1,,Nydelig 3-roms hjørneleilighet med 2 altaner og sjøgløtt til Byfjorden. Innvendig oppusset 2009/-21. Gåavstand til byen!,EiendomsMegler 1 Åsane
"Rønningstrand, 7120 Leksvik",2 890 000 kr,1 826 kr,-1,-1,-1,Leilighet,Eier (Selveier),2,98 m²,98 m²,2,2019,-1,,Flotte leiligheter for salg | Ingen boplikt | Umiddelbar nærhet til sjøen | Mulighet for å kjøpe med carport | 2 SOLGT,Heimdal Eiendomsmegling AS avd Heimdal
"Faldalsveien 3, 1900 Fetsund",5 000 000 kr,23 626 kr,1 164 kr,5 024 790 kr,4 915 kr,Leilighet,Andel,2,96 m²,99 m²,4,2003,D - rød,,"Sjelden anledning! Stor 3(4)-roms i toppetasjen med stor veranda, garasjeplass og heis | Moderniseringsbehov | Sentralt",EiendomsMegler 1 Lillestrøm
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
